工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
8#住宅楼等6项（昌平区沙河镇C-X06、C-X07、C-X10地块二类居住、公建混合住宅、托幼用地项目（配建人才公共租赁住房）昌平区沙河镇）,北京锦昊万华置业有限公司,北京城建北方建设有限责任公司,0618昌竣2016(建)0059号,昌平区住房城乡建设委,2016/8/2
4-6#住宅楼等4项（朝阳区东风家园五区项目）,北京星火房地产开发有限责任公司,北京城建建设工程有限公司,0617朝竣2016(建)0109号,朝阳区住房城乡建设委,2016/8/2
7#住宅楼等4项（朝阳区东风家园五区项目）,北京星火房地产开发有限责任公司,北京城建建设工程有限公司,0616朝竣2016(建)0108号,朝阳区住房城乡建设委,2016/8/2
服务及设备用房,中共中央直属机关住房服务中心,中国新兴建设开发总公司,0615市竣2016(建)0114号,市住房城乡建设委,2016/8/1
厂房等3项（中关村永丰产业基地Ⅱ-4-B地块）,北京鼎臣世纪高科技有限公司,华北建设集团有限公司,0614海竣2016(建)0072号,海淀区住房城乡建设委,2016/8/1
商业金融（西城区金融大街9号商业办公扩建项目）精装修工程（公共区域）,金融街(北京)置业有限公司,广东省装饰有限公司,0117西竣2016(装)0048号,西城区住房城市建设委,2016/7/29
D1号住宅等84项,北京财富花园房地产开发有限公司,北京建工集团有限责任公司,0613朝竣2016(建)0107号,朝阳区住房城乡建设委,2016/7/29
1#商务办公楼等6项（房山区拱辰街道办事处及长阳镇09-05-03地块商业金融项目）,绿地集团北京京永置业有限公司,北京房建建筑股份有限公司,0612房竣2016(建)0059号,房山区住房城乡建设委,2016/7/29
6#住宅楼等6项（顺义区仁和镇梅沟营村（北侧）地块住宅混合公建项目）,北京仁和燕都房地产开发有限公司,南通建工集团股份有限公司,0611顺竣2016(建)0049号,顺义区住房城乡建设委,2016/7/29
1#办公、商务型公寓、商业楼等3项（通州区运河核心区IV-07地块项目）,北京绿地京驰置业有限公司,龙信建设集团有限公司,0610通竣2016(建)0071号,通州区住房城乡建设委,2016/7/29
通州区台湖镇光机电一体化产业基地二期E地块居住项目开闭站（通州区台湖镇光机电一体化产业基地二期E地块居住项目通州区台湖镇光机电一体化产业基地二期E地块居住项目）,北京润通鸿业房地产开发有限责任公司,河北旺润建筑工程有限责任公司,0609通竣2016(建)0070号,通州区住房城乡建设委,2016/7/29
通州区台湖镇光机电一体化产业基地二期E地块居住项目21#配套幼儿园等5项,北京润通鸿业房地产开发有限责任公司,北京城建五建设集团有限公司,0608通竣2016(建)0069号,通州区住房城乡建设委,2016/7/29
东方玫瑰家园A3#住宅楼（通州区自由小镇住宅小区项目）,北京君合百年房地产开发有限公司,通州建总集团有限公司,0607通竣2016(建)0068号,通州区住房城乡建设委,2016/7/29
嘉行广场商业金融项目（嘉行广场）,北京天鸿铭基房地产开发有限公司,中铁建设集团有限公司,0606石竣2016(建)0017号,石景山区住房城乡建设委,2016/7/29
35#配套公建楼等2项,北京牛栏山房地产开发有限责任公司,启东建筑集团有限公司,0605顺竣2016(建)0048号,顺义区住房城乡建设委,2016/7/29
B4非配套商业楼（大兴区生物医药基地东配套区4号地项目）,北京鑫苑万众置业有限公司,中铁建设集团西安工程有限公司,0604大竣2016(建)0070号,大兴区住房城乡建设委,2016/7/28
