单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京五福财休闲健身娱乐有限公司,西文游第13号,2017-12-31,宣武门外大街32号5层,宣武门外大街32号5层,邱宝玉
北京爱博乐美游艺厅有限公司,西文游第14号,2017-12-31,白纸坊东街31号4层,白纸坊东街31号4层,赵鲲
北京永利世嘉电玩城有限公司,西文游第15号,2017-12-31,马连道东街15号院1号楼,马连道东街15号院1号楼,宗建文
北京炫世界电子游艺厅,西文游第17号,2017-12-31,西四南大街18号1幢地下室,西四南大街18号1幢地下室,裴伟
北京市林云游艺厅,西文游第18号,2017-12-31,广安门外大街180号三层F3-02,广安门外大街180号三层F3-02,邹泽林
北京庄胜崇光百货商场电子游艺厅,西文游第19号,2017-12-31,宣武门外大街8号（庄胜崇光百货商场六层）,宣武门外大街8号（庄胜崇光百货商场六层）,
北京圣岳龙台球俱乐部,西文游第20号,2017-12-31,月坛北街26号地下一层,月坛北街26号地下一层,陈培新
北京贵源满休闲中心,西文游第21号,2017-12-31,建功南里3-1号地下一层,建功南里3-1号地下一层,叶述
北京异联电玩城有限公司,西文游第22号,2017-12-31,北京市西城区红莲南路28号6-1幢1层、2、3层部分,北京市西城区红莲南路28号6-1幢1层、2、3层部分,张荣胜
北京风云再起动漫娱乐中心,西文游第23号,2017-12-31,堂子胡同9号新一代商城六层,堂子胡同9号新一代商城六层,陈杰/左孝立
北京齐力同创电子游艺有限公司,京平文游009,2017-12-30,北京市平谷区平谷大街31号3幢,北京市平谷区平谷大街31号3幢,张龙旺
北京华亚星多娱乐有限公司,门文游11002,2017-12-30,门头沟路1号石龙大厦七层,北京市门头沟区门头沟路1号石龙商业大厦7层,纪新龙
北京乐淘百汇电子游艺有限公司,海文游艺047号,2017-12-29,海淀区西三旗永泰庄路甲6号二层,海淀区西三旗永泰庄路甲6号二层,付洪才
北京彩虹乐健文化传播有限公司,海文游艺006号,2017-12-28,海淀区学院南路33号艺海商务酒店东侧局部一、二层,海淀区学院南路33号艺海商务酒店东侧局部一、二层,崔健
北京莱利旋风电子科技有限公司,海文游艺013号,2017-12-28,海淀区农大南路1号院1号楼407号,海淀区农大南路1号院1号楼407号,苗翠琼
北京彩虹年代电子游艺厅,海文游艺016号,2017-12-28,海淀区双清路6号双清综合楼二层北区,海淀区双清路6号双清综合楼二层北区,刘江
北京炫动地带文化传播有限公司,海文游艺023号,2017-12-28,海淀区马连洼北路8号-5（一、二层）,海淀区马连洼北路8号-5（一、二层）,刘朝晖
北京永汇嘉华休闲健身娱乐有限公司,海文游艺024号,2017-12-28,海淀区巴沟路2号华联万柳购物中心4层,海淀区巴沟路2号华联万柳购物中心4层,薛为民
北京酷猫休闲健身娱乐有限公司,海文游艺040号,2017-12-28,海淀区学院路7号地下一层B05,海淀区学院路7号地下一层B05,刘志丰
